Station:CCNY -,,
Date,Time,CO
,,ppb
7/8/16,12:00 AM,0.24
7/9/16,12:00 AM,0.17
7/10/16,12:00 AM,0.16
7/11/16,12:00 AM,0.15
7/12/16,12:00 AM,0.18
7/13/16,12:00 AM,0.19
7/14/16,12:00 AM,
7/15/16,12:00 AM,
7/16/16,12:00 AM,0.2
7/17/16,12:00 AM,0.18
7/18/16,12:00 AM,0.22
7/19/16,12:00 AM,0.15
7/20/16,12:00 AM,0.17
7/21/16,12:00 AM,0.19
7/22/16,12:00 AM,0.2
7/23/16,12:00 AM,0.16
7/24/16,12:00 AM,0.2
7/25/16,12:00 AM,0.21
7/26/16,12:00 AM,0.17
7/27/16,12:00 AM,0.21
7/28/16,12:00 AM,0.23
7/29/16,12:00 AM,0.23
7/30/16,12:00 AM,0.28
7/31/16,12:00 AM,0.19
8/1/16,12:00 AM,0.16
8/2/16,12:00 AM,0.15
8/3/16,12:00 AM,0.18
8/4/16,12:00 AM,0.22
8/5/16,12:00 AM,0.19
8/6/16,12:00 AM,0.19
8/7/16,12:00 AM,0.15
8/8/16,12:00 AM,0.2
8/9/16,12:00 AM,0.24
8/10/16,12:00 AM,0.17
8/11/16,12:00 AM,0.17
8/12/16,12:00 AM,0.18
8/13/16,12:00 AM,0.2
8/14/16,12:00 AM,0.16
8/15/16,12:00 AM,0.19
8/16/16,12:00 AM,0.23
8/17/16,12:00 AM,0.13
8/18/16,12:00 AM,0.23
8/19/16,12:00 AM,0.23
8/20/16,12:00 AM,0.26
8/21/16,12:00 AM,0.16
8/22/16,12:00 AM,0.13
8/23/16,12:00 AM,0.16
8/24/16,12:00 AM,0.22
8/25/16,12:00 AM,0.22
8/26/16,12:00 AM,0.19
8/27/16,12:00 AM,0.19
8/28/16,12:00 AM,0.19
8/29/16,12:00 AM,0.17
8/30/16,12:00 AM,0.17
8/31/16,12:00 AM,0.2
9/1/16,12:00 AM,0.25
9/2/16,12:00 AM,0.14
9/3/16,12:00 AM,0.17
9/4/16,12:00 AM,0.15
9/5/16,12:00 AM,0.14
9/6/16,12:00 AM,0.12
9/7/16,12:00 AM,0.16
9/8/16,12:00 AM,0.31
9/9/16,12:00 AM,0.18
9/10/16,12:00 AM,0.28
9/11/16,12:00 AM,0.14
9/12/16,12:00 AM,0.15
9/13/16,12:00 AM,0.18
9/14/16,12:00 AM,0.19
9/15/16,12:00 AM,0.13
9/16/16,12:00 AM,0.15
9/17/16,12:00 AM,0.17
9/18/16,12:00 AM,0.18
9/19/16,12:00 AM,0.26
9/20/16,12:00 AM,0.26
9/21/16,12:00 AM,0.24
9/22/16,12:00 AM,0.26
9/23/16,12:00 AM,0.33
9/24/16,12:00 AM,0.12
9/25/16,12:00 AM,0.16
9/26/16,12:00 AM,0.19
9/27/16,12:00 AM,0.2
9/28/16,12:00 AM,0.26
9/29/16,12:00 AM,0.14
9/30/16,12:00 AM,0.17
10/1/16,12:00 AM,0.16
10/2/16,12:00 AM,0.24
10/3/16,12:00 AM,0.29
10/4/16,12:00 AM,0.18
10/5/16,12:00 AM,0.19
10/6/16,12:00 AM,0.31
10/7/16,12:00 AM,0.38
10/8/16,12:00 AM,0.39
10/9/16,12:00 AM,0.15
10/10/16,12:00 AM,0.15
10/11/16,12:00 AM,0.2
10/12/16,12:00 AM,0.35
10/13/16,12:00 AM,0.26
10/14/16,12:00 AM,0.18
10/15/16,12:00 AM,0.23
10/16/16,12:00 AM,0.24
10/17/16,12:00 AM,0.28
10/18/16,12:00 AM,0.32
10/19/16,12:00 AM,
10/20/16,12:00 AM,0.22
10/21/16,12:00 AM,0.32
10/22/16,12:00 AM,0.14
10/23/16,12:00 AM,0.16
10/24/16,12:00 AM,0.17
10/25/16,12:00 AM,0.16
10/26/16,12:00 AM,0.19
10/27/16,12:00 AM,0.34
10/28/16,12:00 AM,0.17
10/29/16,12:00 AM,0.32
