Station:CCNY -,,
Date,Time,CO
4/29/15,12:00 AM,0.27
4/30/15,12:00 AM,0.29
5/1/15,12:00 AM,0.32
5/2/15,12:00 AM,0.38
5/3/15,12:00 AM,0.38
5/4/15,12:00 AM,0.55
5/5/15,12:00 AM,0.37
5/6/15,12:00 AM,0.24
5/7/15,12:00 AM,0.37
5/8/15,12:00 AM,0.44
5/9/15,12:00 AM,0.37
5/10/15,12:00 AM,0.32
5/11/15,12:00 AM,0.27
5/12/15,12:00 AM,0.24
5/13/15,12:00 AM,0.16
5/14/15,12:00 AM,0.2
5/15/15,12:00 AM,0.29
5/16/15,12:00 AM,0.42
5/17/15,12:00 AM,0.46
5/18/15,12:00 AM,0.42
5/19/15,12:00 AM,0.47
5/20/15,12:00 AM,0.08
5/21/15,12:00 AM,0.18
5/22/15,12:00 AM,0.13
5/23/15,12:00 AM,0.13
5/24/15,12:00 AM,0.22
5/25/15,12:00 AM,0.19
5/26/15,12:00 AM,0.2
5/27/15,12:00 AM,0.26
5/28/15,12:00 AM,0.25
5/29/15,12:00 AM,0.18
5/30/15,12:00 AM,0.17
5/31/15,12:00 AM,0.13
6/1/15,12:00 AM,0.08
6/2/15,12:00 AM,0.11
6/3/15,12:00 AM,0.1
6/4/15,12:00 AM,0.09
6/5/15,12:00 AM,0.23
6/6/15,12:00 AM,0.14
6/7/15,12:00 AM,0.05
6/8/15,12:00 AM,0.11
6/9/15,12:00 AM,0.11
6/10/15,12:00 AM,0.13
6/11/15,12:00 AM,0.24
6/12/15,12:00 AM,0.27
6/13/15,12:00 AM,0.13
6/14/15,12:00 AM,0.19
6/15/15,12:00 AM,0.17
6/16/15,12:00 AM,0.22
6/17/15,12:00 AM,0.05
6/18/15,12:00 AM,0.04
6/19/15,12:00 AM,0.03
6/20/15,12:00 AM,0
6/21/15,12:00 AM,0
6/22/15,12:00 AM,-0.07
6/23/15,12:00 AM,0.21
6/24/15,12:00 AM,0.38
6/25/15,12:00 AM,0.46
6/26/15,12:00 AM,0.44
6/27/15,12:00 AM,0.37
6/28/15,12:00 AM,0.38
6/29/15,12:00 AM,0.34
6/30/15,12:00 AM,0.4
7/1/15,12:00 AM,0.45
7/2/15,12:00 AM,0.43
7/3/15,12:00 AM,0.32
7/4/15,12:00 AM,0.37
7/5/15,12:00 AM,0.42
7/6/15,12:00 AM,0.45
7/7/15,12:00 AM,0.43
7/8/15,12:00 AM,0.46
7/9/15,12:00 AM,0.47
7/10/15,12:00 AM,0.36
7/11/15,12:00 AM,0.34
7/12/15,12:00 AM,0.37
7/13/15,12:00 AM,0.38
7/14/15,12:00 AM,0.4
7/15/15,12:00 AM,0.37
7/16/15,12:00 AM,0.24
7/17/15,12:00 AM,0.29
7/18/15,12:00 AM,0.41
7/19/15,12:00 AM,0.43
7/20/15,12:00 AM,0.37
7/21/15,12:00 AM,0.37
7/22/15,12:00 AM,0.21
7/23/15,12:00 AM,0.21
7/24/15,12:00 AM,0.23
7/25/15,12:00 AM,0.28
7/26/15,12:00 AM,0.27
7/27/15,12:00 AM,0.35
7/28/15,12:00 AM,0.33
7/29/15,12:00 AM,0.33
7/30/15,12:00 AM,0.37
7/31/15,12:00 AM,0.23
8/1/15,12:00 AM,0.2
8/2/15,12:00 AM,0.22
8/3/15,12:00 AM,0.22
8/4/15,12:00 AM,0.21
8/5/15,12:00 AM,0.19
8/6/15,12:00 AM,0.14
8/7/15,12:00 AM,0.18
8/8/15,12:00 AM,0.2
8/9/15,12:00 AM,0.19
8/10/15,12:00 AM,0.17
8/11/15,12:00 AM,0.21
8/12/15,12:00 AM,0.13
8/13/15,12:00 AM,0.11
8/14/15,12:00 AM,0.2
8/15/15,12:00 AM,0.24
8/16/15,12:00 AM,0.32
8/17/15,12:00 AM,0.28
8/18/15,12:00 AM,0.22
8/19/15,12:00 AM,0.27
8/20/15,12:00 AM,0.33
8/21/15,12:00 AM,0.32
8/22/15,12:00 AM,0.28
8/23/15,12:00 AM,0.36
8/24/15,12:00 AM,0.38
8/25/15,12:00 AM,0.4
8/26/15,12:00 AM,0.3
8/27/15,12:00 AM,0.29
8/28/15,12:00 AM,0.29
8/29/15,12:00 AM,0.36
8/30/15,12:00 AM,0.43
8/31/15,12:00 AM,0.44
9/1/15,12:00 AM,0.46
9/2/15,12:00 AM,0.51
9/3/15,12:00 AM,0.48
9/4/15,12:00 AM,0.37
9/5/15,12:00 AM,0.25
9/6/15,12:00 AM,0.29
9/7/15,12:00 AM,0.33
9/8/15,12:00 AM,0.38
9/9/15,12:00 AM,0.34
9/10/15,12:00 AM,0.37
9/11/15,12:00 AM,0.27
9/12/15,12:00 AM,0.32
9/13/15,12:00 AM,0.18
9/14/15,12:00 AM,0.11
9/15/15,12:00 AM,0.21
9/16/15,12:00 AM,0.29
9/17/15,12:00 AM,0.3
9/18/15,12:00 AM,0.36
9/19/15,12:00 AM,0.37
9/20/15,12:00 AM,0.24
9/21/15,12:00 AM,0.24
9/22/15,12:00 AM,0.26
9/23/15,12:00 AM,0.33
9/24/15,12:00 AM,0.37
9/25/15,12:00 AM,0.32
9/26/15,12:00 AM,0.3
9/27/15,12:00 AM,0.32
9/28/15,12:00 AM,0.41
9/29/15,12:00 AM,0.45
9/30/15,12:00 AM,0.28
10/1/15,12:00 AM,0.22
10/2/15,12:00 AM,0.21
10/3/15,12:00 AM,0.23
10/4/15,12:00 AM,0.22
10/5/15,12:00 AM,0.28
10/6/15,12:00 AM,0.33
10/7/15,12:00 AM,0.32
10/8/15,12:00 AM,0.37
10/9/15,12:00 AM,0.39
10/10/15,12:00 AM,0.28
10/11/15,12:00 AM,0.37
10/12/15,12:00 AM,0.46
10/13/15,12:00 AM,0.45
10/14/15,12:00 AM,0.34
10/15/15,12:00 AM,0.34
10/16/15,12:00 AM,0.28
10/17/15,12:00 AM,0.17
10/18/15,12:00 AM,0.22
10/19/15,12:00 AM,0.3
10/20/15,12:00 AM,0.33
10/21/15,12:00 AM,0.52
10/22/15,12:00 AM,0.45
10/23/15,12:00 AM,0.21
10/24/15,12:00 AM,0.31
10/25/15,12:00 AM,0.27
10/26/15,12:00 AM,0.31
10/27/15,12:00 AM,0.41
10/28/15,12:00 AM,0.35
10/29/15,12:00 AM,0.31
10/30/15,12:00 AM,0.25
10/31/15,12:00 AM,0.37
11/1/15,12:00 AM,0.39
11/2/15,12:00 AM,0.5
11/3/15,12:00 AM,0.71
11/4/15,12:00 AM,0.62
11/5/15,12:00 AM,0.7
11/6/15,12:00 AM,0.45
11/7/15,12:00 AM,0.27
11/8/15,12:00 AM,0.28
11/9/15,12:00 AM,0.56
11/10/15,12:00 AM,0.49
11/11/15,12:00 AM,0.34
11/12/15,12:00 AM,0.43
11/13/15,12:00 AM,0.29
11/14/15,12:00 AM,0.36
11/15/15,12:00 AM,0.49
11/16/15,12:00 AM,0.49
11/17/15,12:00 AM,0.4
11/18/15,12:00 AM,0.44
11/19/15,12:00 AM,0.42
11/20/15,12:00 AM,0.36
11/21/15,12:00 AM,0.42
11/22/15,12:00 AM,0.39
11/23/15,12:00 AM,0.47
11/24/15,12:00 AM,0.64
11/25/15,12:00 AM,0.63
11/26/15,12:00 AM,0.85
11/27/15,12:00 AM,0.64
11/28/15,12:00 AM,0.53
11/29/15,12:00 AM,0.44
11/30/15,12:00 AM,0.63
12/1/15,12:00 AM,0.63
12/2/15,12:00 AM,1.09
12/3/15,12:00 AM,0.34
12/4/15,12:00 AM,0.27
12/5/15,12:00 AM,0.38
12/6/15,12:00 AM,0.58
12/7/15,12:00 AM,0.52
12/8/15,12:00 AM,0.35
12/9/15,12:00 AM,0.61
12/10/15,12:00 AM,0.49
12/11/15,12:00 AM,0.6
12/12/15,12:00 AM,0.7
12/13/15,12:00 AM,0.69
12/14/15,12:00 AM,0.54
12/15/15,12:00 AM,0.27
12/16/15,12:00 AM,0.34
12/17/15,12:00 AM,0.49
12/18/15,12:00 AM,0.33
12/19/15,12:00 AM,0.26
12/20/15,12:00 AM,0.16
12/21/15,12:00 AM,0.16
12/22/15,12:00 AM,0.12
12/23/15,12:00 AM,0.29
12/24/15,12:00 AM,0.07
12/25/15,12:00 AM,0.35
12/26/15,12:00 AM,0.08
12/27/15,12:00 AM,0.3
12/28/15,12:00 AM,0.32
12/29/15,12:00 AM,0.49
12/30/15,12:00 AM,0.6
12/31/15,12:00 AM,0.43
Minimum,,-0.07
MinDate,,22-Jun
MinTime,,12:00
Maximum,,1.17
MaxDate,,10-Mar
MaxTime,,12:00
Avg,,0.33
Num,,352
Data[%],,96
STD,,0.1
