Station:CCNY -,,
Date,Time,CO
,,ppb
1/1/15,12:00 AM,0.62
1/2/15,12:00 AM,0.57
1/3/15,12:00 AM,0.65
1/4/15,12:00 AM,0.62
1/5/15,12:00 AM,0.47
1/6/15,12:00 AM,0.63
1/7/15,12:00 AM,0.62
1/8/15,12:00 AM,0.35
1/9/15,12:00 AM,-0.03
1/10/15,12:00 AM,-0.06
1/11/15,12:00 AM,0.04
1/12/15,12:00 AM,0.2
1/13/15,12:00 AM,0.02
1/14/15,12:00 AM,0.34
1/15/15,12:00 AM,0.09
1/16/15,12:00 AM,0.05
1/17/15,12:00 AM,0.06
1/18/15,12:00 AM,0.6
1/19/15,12:00 AM,0
1/20/15,12:00 AM,0.01
1/21/15,12:00 AM,0.2
1/22/15,12:00 AM,0.32
1/23/15,12:00 AM,0.33
1/24/15,12:00 AM,0.45
1/25/15,12:00 AM,0.25
1/26/15,12:00 AM,0.34
1/27/15,12:00 AM,0.27
1/28/15,12:00 AM,0.2
1/29/15,12:00 AM,0.17
1/30/15,12:00 AM,0.07
1/31/15,12:00 AM,0
2/1/15,12:00 AM,0.11
2/2/15,12:00 AM,0.11
2/3/15,12:00 AM,0.06
2/4/15,12:00 AM,0.25
2/5/15,12:00 AM,0.05
2/6/15,12:00 AM,0.06
2/7/15,12:00 AM,0.4
2/8/15,12:00 AM,0.35
2/9/15,12:00 AM,0.1
2/10/15,12:00 AM,0
2/11/15,12:00 AM,0.14
2/12/15,12:00 AM,0.34
2/13/15,12:00 AM,0.28
2/14/15,12:00 AM,0.4
2/15/15,12:00 AM,0.28
2/16/15,12:00 AM,0.38
2/17/15,12:00 AM,0.4
2/18/15,12:00 AM,0.49
2/19/15,12:00 AM,0.28
2/20/15,12:00 AM,0.37
2/21/15,12:00 AM,0.45
2/22/15,12:00 AM,0.61
2/23/15,12:00 AM,0.32
2/24/15,12:00 AM,0.45
2/25/15,12:00 AM,0.46
2/26/15,12:00 AM,0.37
2/27/15,12:00 AM,0.34
2/28/15,12:00 AM,0.36
3/1/15,12:00 AM,0.55
3/2/15,12:00 AM,0.43
3/3/15,12:00 AM,0.45
3/4/15,12:00 AM,0.6
3/5/15,12:00 AM,0.36
3/6/15,12:00 AM,0.36
3/7/15,12:00 AM,0.5
3/8/15,12:00 AM,0.54
3/9/15,12:00 AM,0.48
3/10/15,12:00 AM,1.17
3/11/15,12:00 AM,0.5
3/12/15,12:00 AM,0.31
3/13/15,12:00 AM,0.44
3/14/15,12:00 AM,0.51
3/15/15,12:00 AM,0.34
3/16/15,12:00 AM,0.54
3/17/15,12:00 AM,
3/18/15,12:00 AM,
3/19/15,12:00 AM,
3/20/15,12:00 AM,
3/21/15,12:00 AM,
3/22/15,12:00 AM,
3/23/15,12:00 AM,
3/24/15,12:00 AM,
3/25/15,12:00 AM,
3/26/15,12:00 AM,
3/27/15,12:00 AM,0.36
3/28/15,12:00 AM,
3/29/15,12:00 AM,
3/30/15,12:00 AM,
3/31/15,12:00 AM,0.3
4/1/15,12:00 AM,0.34
4/2/15,12:00 AM,0.5
4/3/15,12:00 AM,0.47
4/4/15,12:00 AM,0.33
4/5/15,12:00 AM,0.32
4/6/15,12:00 AM,0.5
4/7/15,12:00 AM,0.49
4/8/15,12:00 AM,0.4
4/9/15,12:00 AM,0.43
4/10/15,12:00 AM,0.52
4/11/15,12:00 AM,0.28
4/12/15,12:00 AM,0.39
4/13/15,12:00 AM,0.47
4/14/15,12:00 AM,0.42
4/15/15,12:00 AM,0.32
4/16/15,12:00 AM,0.36
4/17/15,12:00 AM,0.39
4/18/15,12:00 AM,0.34
4/19/15,12:00 AM,0.29
4/20/15,12:00 AM,0.44
4/21/15,12:00 AM,0.36
4/22/15,12:00 AM,0.39
4/23/15,12:00 AM,0.27
4/24/15,12:00 AM,0.29
4/25/15,12:00 AM,0.34
4/26/15,12:00 AM,0.27
4/27/15,12:00 AM,0.26
4/28/15,12:00 AM,0.25
