Station:CCNY -,,,,
Date,Time,O3,PM25C,CO
,,ppm,ug/m3LC,ppb
5/10/17,12:00 AM,0.028,5,0.21
5/11/17,12:00 AM,0.024,4.4,0.2
5/12/17,12:00 AM,0.026,3.5,0.18
5/13/17,12:00 AM,0.026,1.8,0.13
5/14/17,12:00 AM,0.035,3.7,0.14
5/15/17,12:00 AM,0.03,3.9,0.13
5/16/17,12:00 AM,0.027,4.8,0.19
5/17/17,12:00 AM,0.043,14.3,0.24
5/18/17,12:00 AM,0.051,16,0.22
5/19/17,12:00 AM,0.042,10,0.16
5/20/17,12:00 AM,0.029,3.8,0.15
5/21/17,12:00 AM,0.03,2.6,0.14
5/22/17,12:00 AM,0.015,3.5,0.2
5/23/17,12:00 AM,0.024,4.5,0.2
5/24/17,12:00 AM,0.029,5,0.21
5/25/17,12:00 AM,0.03,,0.14
5/26/17,12:00 AM,0.024,2.6,0.16
5/27/17,12:00 AM,0.024,3.9,0.18
5/28/17,12:00 AM,0.032,4.6,0.18
5/29/17,12:00 AM,0.026,2.7,0.13
5/30/17,12:00 AM,0.021,2.7,0.16
5/31/17,12:00 AM,0.02,4.7,0.24
6/1/17,12:00 AM,0.033,4.9,0.21
6/2/17,12:00 AM,0.034,3.9,0.15
6/3/17,12:00 AM,0.03,4.1,0.13
6/4/17,12:00 AM,0.026,4.4,0.19
6/5/17,12:00 AM,0.021,8.2,0.22
6/6/17,12:00 AM,0.016,1.5,0.16
6/7/17,12:00 AM,0.023,3.2,0.17
6/8/17,12:00 AM,0.023,3.8,0.22
6/9/17,12:00 AM,0.029,6,0.19
6/10/17,12:00 AM,0.045,10.6,0.19
6/11/17,12:00 AM,0.05,11.4,0.19
6/12/17,12:00 AM,0.056,14.2,0.21
6/13/17,12:00 AM,0.049,15.2,0.22
6/14/17,12:00 AM,0.034,6.4,0.14
6/15/17,12:00 AM,0.024,4,0.16
6/16/17,12:00 AM,0.017,3.8,0.14
6/17/17,12:00 AM,0.014,5.9,0.22
6/18/17,12:00 AM,0.018,9,0.18
6/19/17,12:00 AM,0.022,7.8,0.17
6/20/17,12:00 AM,0.036,3.6,0.14
6/21/17,12:00 AM,0.039,8.3,0.19
6/22/17,12:00 AM,0.036,10.3,0.24
6/23/17,12:00 AM,0.025,12.6,0.19
6/24/17,12:00 AM,0.029,,0.13
6/25/17,12:00 AM,0.039,5.1,0.15
6/26/17,12:00 AM,0.039,3.8,0.14
6/27/17,12:00 AM,0.033,4.8,
6/28/17,12:00 AM,0.028,3.3,
6/29/17,12:00 AM,0.036,8.2,
6/30/17,12:00 AM,0.047,11.4,
7/1/17,12:00 AM,0.023,5.2,0.15
7/2/17,12:00 AM,0.037,4.8,0.13
7/3/17,12:00 AM,0.039,8.2,0.16
7/4/17,12:00 AM,0.038,10.9,0.2
7/5/17,12:00 AM,0.028,13,0.17
7/6/17,12:00 AM,0.02,3.7,0.16
7/7/17,12:00 AM,0.024,3.5,0.17
7/8/17,12:00 AM,0.033,6.9,0.18
7/9/17,12:00 AM,0.029,5.1,0.13
7/10/17,12:00 AM,0.032,8.5,0.17
7/11/17,12:00 AM,0.039,9.2,0.19
7/12/17,12:00 AM,0.037,12,0.19
7/13/17,12:00 AM,0.035,15.1,0.21
7/14/17,12:00 AM,0.012,3.8,0.16
7/15/17,12:00 AM,0.025,2.8,0.15
7/16/17,12:00 AM,0.037,4,0.18
7/17/17,12:00 AM,0.033,7.4,0.18
7/18/17,12:00 AM,0.03,5.1,0.16
7/19/17,12:00 AM,0.038,9.8,0.19
7/20/17,12:00 AM,0.038,12.5,0.23
7/21/17,12:00 AM,0.039,7.3,0.17
7/22/17,12:00 AM,0.053,11.4,0.21
7/23/17,12:00 AM,0.045,11.9,0.23
7/24/17,12:00 AM,0.022,2.7,0.13
